Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,-0.0585567936495662,0.108885138044438,-0.142308649679038,0,0,0,5.32485366509136,0.023203020823872,4.01751561825012E-06,7.80337093935825E-06,0.0219378727233069,-1.47975198134051E-06,0.0149047739346839,0,0,0,0,0,0,package://051410/meshes/Body.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://051410/meshes/Body.STL,,Body-1,좌표계1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0666875210853818,-0.0256174029954353,0.0272583251967585,0,0,0,0.26437001106024,3.20746276473133E-05,-1.44118283521332E-07,-6.30853084344598E-08,6.22704126338855E-05,-2.01894652764198E-07,6.28519936954E-05,0,0,0,0,0,0,package://051410/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://051410/meshes/LFS.STL,,Suspensionsystem-1,Origin_LFS,Axis_LFS,LFS,prismatic,-0.0264270997401359,0.315160991135077,-0.0508115623588097,-1.87842660467749,0,-1.5707963267949,Body,0,0.302801016091279,-0.953053799454201,0,0,0,0,,,,,,,,
LFW,-0.012315724574073,0,3.46944695195361E-18,0,0,0,0.193585420779862,0.000253081141332254,-2.20697783538624E-23,8.87721135180224E-22,0.000136818598566517,0,0.000136818598566517,0,0,0,0,0,0,package://051410/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://051410/meshes/LFW.STL,,wheel-4,Origin_LFW,Axis_LFW,LFW,continuous,0.000410991135076755,-0.0474789038855384,0.0523091236506849,-1.87071350905913,0,3.14159265358979,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,0.0724473276378503,-0.0316832521314763,0.0253402400459297,0,0,0,0.26437001106024,3.20746276473134E-05,1.44118283521343E-07,6.30853084344513E-08,6.22704126338856E-05,-2.01894652764198E-07,6.28519936954001E-05,0,0,0,0,0,0,package://051410/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://051410/meshes/RFS.STL,,Suspensionsystem2-1,Origin_RFS,Axis_RFS,RFS,prismatic,-0.0264270997401362,-0.104920797687545,-0.0121278542793212,1.2631660489123,0,1.5707963267949,Body,0,0.302801016091279,-0.953053799454201,0,0,0,0,,,,,,,,
RFW,-0.012315724574073,0,0,0,0,0,0.193585420779862,0.000253081141332254,1.52152873461367E-21,2.90805277918717E-21,0.000136818598566517,-2.71050543121376E-20,0.000136818598566517,0,0,0,0,0,0,package://051410/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://051410/meshes/RFW.STL,,wheel-3,Origin_RFW,Axis_RFW,RFW,continuous,0.00617079768754525,-0.0282861353526375,0.0584053345271756,-0.707139785690461,0,3.14159265358979,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,0.0754022136877308,-0.0206011352566475,0.0126264314730576,0,0,0,0.197009126147877,1.68802738687172E-05,-4.80839139040385E-21,2.20356918157704E-20,5.02184885667569E-05,1.0508875929185E-06,4.72447473350486E-05,0,0,0,0,0,0,package://051410/meshes/LBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://051410/meshes/LBS.STL,,suspensioncastle-1,Origin_LBS,Axis_LBS,LBS,prismatic,-0.0177695299742091,0.315160991135077,-0.230811562358817,-1.87842660467749,0,-1.5707963267949,Body,0,0.30280101609128,-0.953053799454201,0,0,0,0,,,,,,,,
LBC,0.000464526735874993,-0.0408313152633741,0,0,0,0,0.0433962459602619,2.1180042472488E-05,5.53822046363831E-07,-7.94093388050907E-23,1.76453344713605E-06,-5.82666023482353E-21,2.14947085785555E-05,0,0,0,0,0,0,package://051410/meshes/LBC.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://051410/meshes/LBC.STL,,CastleCatcher_small_wheel-3,Origin_LBC,Axis_LBC,LBC,continuous,0.0411609911350767,-0.0168161225555064,0.000713258979880046,-1.87842355251803,-0.00139263512405185,3.13720937469085,LBS,0,1,0,,,,,,,,,,,,
LBW,0.00647305835345524,0,0,0,0,0,0.0368891747697499,1.67269024516251E-05,-6.05909798695093E-22,6.3097337125545E-21,8.87926239042531E-06,-3.17637355220363E-22,8.87926239042531E-06,0,0,0,0,0,0,package://051410/meshes/LBW.STL,1,1,1,1,0,0,0,0,0,0,package://051410/meshes/LBW.STL,,wheel_small-2,Origin_LBW,Axis_LBW,LBW,continuous,0.00950027498126405,-0.0683043960407024,0,-2.96618061334499,0,0,LBC,1,0,0,3.1,7,,,,,,,,,,
RBS,0.0754022136877307,-0.0206011352566388,0.0126264314730556,0,0,0,0.197009126147877,1.68802738687172E-05,1.02892964589924E-20,-2.43477299444764E-20,5.0218488566757E-05,1.0508875929185E-06,4.72447473350487E-05,0,0,0,0,0,0,package://051410/meshes/RBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://051410/meshes/RBS.STL,,suspensioncastle-2,Origin_RBS,Axis_RBS,RBS,prismatic,-0.0177695299742046,-0.0991609911350767,-0.199190174459287,1.2631660489123,0,1.5707963267949,Body,0,0.302801016091279,-0.953053799454201,0,0,0,0,,,,,,,,
RBC,0.000464526735875062,-0.0408313152633741,-5.55111512312578E-17,0,0,0,0.0433962459602619,2.1180042472488E-05,5.53822046363839E-07,-2.72020875327765E-22,1.76453344713605E-06,-3.31898023349275E-21,2.14947085785555E-05,0,0,0,0,0,0,package://051410/meshes/RBC.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://051410/meshes/RBC.STL,,CastleCatcher_small_wheel-4,Origin_RBC,Axis_RBC,RBC,continuous,0.0411609911350767,-0.0168161225554979,0.000713258979877965,-1.87842660467749,0,3.14159265358979,RBS,0,1,0,,,,,,,,,,,,
